"requested(N1,N1)","requested(N1,N2)","requested(N2,N1)","requested(N2,N2)","replied(N1,N1)","replied(N1,N2)","replied(N2,N1)","replied(N2,N2)",holds(N1),holds(N2)
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,1,0,0,1,0
0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,1,0,0,0,0
0,1,1,0,0,0,1,0,0,0
