"lock_msg(N1,L1)","lock_msg(N2,L1)","grant_msg(N1,L1)","grant_msg(N2,L1)","unlock_msg(N1,L1)","unlock_msg(N2,L1)","holds_lock(N1,L1)","holds_lock(N2,L1)",server_holds_lock(L1)
1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0
